#height_over_sea_level	fall	net_fall	flow	power_of_hydroelectrical_turbine
0.7769230769230769	0.7569254185692542	0.7790047799975487	0.16666666666666669	0.21996541483402876
0.8589743589743589	0.8381024860476916	0.857445765412428	0.16666666666666669	0.23012471783194688
0.32564102564102565	0.32425164890918323	0.3211055276381911	0.5666666666666667	0.3969612671202837
0.2641025641025641	0.26336884830035523	0.26227478857703146	0.5666666666666667	0.36429224823270157
0.9	0.8691527143581939	0.8530334599828411	0.7666666666666666	0.8158599479790413
0.6948717948717948	0.6702688990360224	0.6789925235935778	0.5	0.509315081244708
0.30512820512820515	0.30497209538305436	0.30639784287290117	0.5	0.3473448008578267
0.7358974358974358	0.7376458650431252	0.7431180291702415	0.1	0.1506776508580952
0.2641025641025641	0.2664129883307965	0.2769824733423215	0.3666666666666667	0.24717384416267918
0.5102564102564102	0.4876204972095384	0.5025003064100994	0.5	0.43972944089105137
0.1	0.10304414003044138	0.11529599215590149	0.43333333333333335	0.21901163758612727
0.1	0.10405885337392193	0.1201005025125628	0.3666666666666667	0.18550913768010868
0.24358974358974358	0.24510400811770675	0.2525677166319402	0.43333333333333335	0.279837134658382
0.6538461538461539	0.6327245053272452	0.6534992033337418	0.30000000000000004	0.31792378016580114
0.46923076923076923	0.4470319634703197	0.4632798137026598	0.5	0.42357823998739763
0.4487179487179487	0.42470826991374955	0.4333741880132369	0.6333333333333333	0.5042970099584514
0.46923076923076923	0.4738203957382039	0.4881848265718839	0.1	0.11117466045852196
0.5717948717948718	0.5515474378488079	0.5750582179188625	0.30000000000000004	0.29692063134039
0.8589743589743589	0.8305936073059362	0.8255791150876333	0.6333333333333333	0.6885965618907989
0.4487179487179487	0.4277524099441907	0.4486701801691384	0.43333333333333335	0.36609525957670763
0.7974358974358974	0.7676813800101472	0.754982228214242	0.7666666666666666	0.7649760750132916
0.34615384615384615	0.3498224251648908	0.3629734036033827	0.23333333333333334	0.18383931144729612
